Player,Position,Salary [$],Floor,Mean,Ceiling,SD,Risk,Tier,PPD
Jordan Akins (HOU),TE,1,72.4,88,104,10.7,4.07,9,88
Mark Ingram (HOU),RB,1,53.6,87.4,135,32.5,6.81,11,87.4
Dawson Knox (BUF),TE,1,71.8,87.2,112,14.5,4.32,9,87.2
Gerald Everett (SEA),TE,2,53.1,87.1,113,21.2,4.71,9,43.6
Rashod Bateman (BAL),WR,1,39,86.2,110,30.3,5.67,10,86.2
Rashaad Penny (SEA),RB,1,68,85.7,113,15.6,4.2,11,85.7
Kendrick Bourne (NE),WR,1,36,85.4,139,41.2,6.39,10,85.4
Juwan Johnson (NO),TE,1,65.7,85.4,111,33.3,8.44,9,85.4
Raiders (LVR),DST,1,42.7,85,119,33,10.8,18,85
Ty Johnson (NYJ),RB,1,50.9,84.8,125,28.2,6.83,11,84.8
Justin Jackson (LAC),RB,2,56.8,84.8,110,21.8,5.54,11,42.4
Damien Williams (CHI),RB,1,19.3,84.7,117,34.9,6.78,11,84.7
Rondale Moore (ARI),WR,2,8.34,84.6,146,58.7,8.32,10,42.3
Jaguars (JAC),DST,1,53.4,84.6,114,24.1,5.04,19,84.6
Adam Trautman (NO),TE,1,52.5,83.1,123,27.6,6.69,9,83.1
Brian Hill (TEN),RB,1,,82.3,,,,11,82.3
Bengals (CIN),DST,1,46,82,112,26.7,5.59,20,82
Hayden Hurst (ATL),TE,1,57.2,81.7,112,20.4,5.04,9,81.7
Marlon Mack (IND),RB,2,54.1,81.6,114,21.9,5.4,11,40.8
Malcolm Brown (MIA),RB,1,50.3,80.8,97.7,17.7,4.69,11,80.8
Darrel Williams (KC),RB,1,50.6,80.3,105,19.9,4.73,11,80.3
C.J. Uzomah (CIN),TE,1,49.5,79.5,95.5,17.5,4.89,9,79.5
Wayne Gallman (SF),RB,1,54.2,78,104,23,6.27,11,78
Boston Scott (PHI),RB,1,48.4,77.3,113,23.2,5.61,12,77.3
Lions (DET),DST,1,35.8,77.1,117,31.3,6.98,20,77.1
Texans (HOU),DST,1,54.9,76.5,116,27.3,6.28,,76.5
Cody Parkey (FA),K,1,75,76.1,77,1.41,4.09,7,76.1
Rhamondre Stevenson (NE),RB,2,52.4,75.9,112,24.9,6.22,12,38
Tony Jones (NO),RB,1,41.9,74.5,114,29.6,7.22,12,74.5
Dalton Schultz (DAL),TE,1,46.6,74.4,114,25.3,5.79,10,74.4
Chris Herndon (NYJ),TE,1,32.2,72.2,105,29.7,6.66,10,72.2
LeVeon Bell (FA),RB,2,29.1,71.9,106,31,7.11,12,36
O.J. Howard (TB),TE,1,44.3,71.6,90.7,19.1,4.94,10,71.6
Jordan Howard (PHI),RB,1,,69.4,,,4.48,12,69.4
Mo Alie-Cox (IND),TE,1,54.1,68.8,86.9,12.3,4.31,10,68.8
Dan Arnold (CAR),TE,1,45.3,68.7,94.1,21.2,5.37,10,68.7
Jimmy Graham (CHI),TE,1,40,68.5,99.3,21.6,5.07,10,68.5
Tarik Cohen (CHI),RB,2,39.2,68.4,95.3,21.7,6.63,12,34.2
Randy Bullock (DET),K,1,68,68,68,0,3.52,8,68
Cam Newton (NE),QB,1,-3.69,64.3,123,92.1,9.69,16,64.3
